表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
ちょうど,副詞,一般,*,*,*,*,ちょうど,チョウド,チョード,,,,0,0
初七日,名詞,一般,*,*,*,*,初七日,ショナノカ,ショナノカ,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
夜,名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,0
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,,,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,0
。,記号,句点,*,*,*,*,。,。,。,,,,0,0
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,1
死ん,動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン,,,,0,1
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,,,,0,1
弟,名詞,一般,*,*,*,*,弟,オトウト,オトート,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
書斎,名詞,一般,*,*,*,*,書斎,ショサイ,ショサイ,,,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,1
入っ,動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,,,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
何かと,副詞,一般,*,*,*,*,何かと,ナニカト,ナニカト,,,,0,1
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,,,,0,1
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,,,0,1
書き残し,動詞,自立,*,*,五段・サ行,連用形,書き残す,カキノコシ,カキノコシ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,,,0,1
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,,,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,1
取出し,動詞,自立,*,*,五段・サ行,連用形,取出す,トリダシ,トリダシ,,,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
ひとり,名詞,一般,*,*,*,*,ひとり,ヒトリ,ヒトリ,,,,0,1
物思い,名詞,一般,*,*,*,*,物思い,モノオモイ,モノオモイ,,,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,1
ふけっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ふける,フケッ,フケッ,,,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,1
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,1
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
。,記号,句点,*,*,*,*,。,。,。,,,,0,1
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,,,,0,2
、,記号,読点,*,*,*,*,、,、,、,,,,0,2
さして,副詞,一般,*,*,*,*,さして,サシテ,サシテ,,,,0,2
夜,名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル,,,,0,2
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,2
ふけ,動詞,自立,*,*,一段,連用形,ふける,フケ,フケ,,,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,2
い,動詞,非自立,*,*,一段,未然形,いる,イ,イ,,,,0,2
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,,,0,2
のに,助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,,,,0,2
、,記号,読点,*,*,*,*,、,、,、,,,,0,2
家中,名詞,一般,*,*,*,*,家中,カチュウ,カチュー,,,,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,2
涙,名詞,固有名詞,一般,*,*,*,涙。,ナミダ,ナミダ,,,,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,2
しめっ,動詞,自立,*,*,五段・ラ行,連用タ接続,しめる,シメッ,シメッ,,,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,2
、,記号,読点,*,*,*,*,、,、,、,,,,0,2
しんと,副詞,一般,*,*,*,*,しんと,シント,シント,,,,0,2
鎮まり,動詞,自立,*,*,五段・ラ行,連用形,鎮まる,シズマリ,シズマリ,,,,0,2
返っ,動詞,自立,*,*,五段・ラ行,連用タ接続,返る,カエッ,カエッ,,,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,2
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,2
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,,,0,2
。,記号,句点,*,*,*,*,。,。,。,,,,0,2
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,,,,0,3
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,,,,0,3
持っ,動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,,,,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,3
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,,,,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
何だか,副詞,一般,*,*,*,*,何だか,ナンダカ,ナンダカ,,,,0,3
新派,名詞,一般,*,*,*,*,新派,シンパ,シンパ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
お芝居,名詞,固有名詞,一般,*,*,*,お芝居,オシバイ,オシバイ,,,,0,3
めい,動詞,非自立,*,*,五段・カ行イ音便,連用タ接続,めく,メイ,メイ,,,,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,3
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,3
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,,,0,3
けれど,助詞,接続助詞,*,*,*,*,けれど,ケレド,ケレド,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
遠く,名詞,副詞可能,*,*,*,*,遠く,トオク,トーク,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,,,,0,3
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
物売り,名詞,一般,*,*,*,*,物売り,モノウリ,モノウリ,,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,3
呼声,名詞,一般,*,*,*,*,呼声,ヨビゴエ,ヨビゴエ,,,,0,3
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,,,,0,3
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,3
、,記号,読点,*,*,*,*,、,、,、,,,,0,3
さも,副詞,一般,*,*,*,*,さも,サモ,サモ,,,,0,3
悲し,形容詞,自立,*,*,形容詞・イ段,ガル接続,悲しい,カナシ,カナシ,,,,0,3
げ,名詞,接尾,一般,*,*,*,げ,ゲ,ゲ,,,,0,3
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,3
調子,名詞,一般,*,*,*,*,調子,チョウシ,チョーシ,,,,0,3
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,,,0,3
響い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,響く,ヒビイ,ヒビイ,,,,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,3
来る,動詞,非自立,*,*,カ変・来ル,基本形,来る,クル,クル,,,,0,3
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,3
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,3
。,記号,句点,*,*,*,*,。,。,。,,,,0,3
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,4
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,4
長い間,名詞,固有名詞,一般,*,*,*,長い間,ナガイアイダ,ナガイアイダ,,,,0,4
忘れ,動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ,,,,0,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,4
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,4
