表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
「,記号,括弧開,*,*,*,*,「,「,「,,上,,0,0
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,,上,,0,0
泥坊,名詞,一般,*,*,*,*,泥坊,ドロボウ,ドロボー,,上,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,上,,0,0
羨し,形容詞,自立,*,*,形容詞・アウオ段,文語基本形,羨い,トモシ,トモシ,,上,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,上,,0,0
」,記号,括弧閉,*,*,*,*,」,」,」,,上,,0,0
二人,名詞,一般,*,*,*,*,二人,フタリ,フタリ,,上,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,上,,0,0
間,名詞,一般,*,*,*,*,間,マ,マ,,上,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,上,,0,0
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ,,上,,0,0
言葉,名詞,一般,*,*,*,*,言葉,コトバ,コトバ,,上,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,上,,0,0
交さ,動詞,自立,*,*,五段・サ行,未然形,交す,カワサ,カワサ,,上,,0,0
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル,,上,,0,0
程,名詞,非自立,一般,*,*,*,程,ホド,ホド,,上,,0,0
、,記号,読点,*,*,*,*,、,、,、,,上,,0,0
其頃,名詞,一般,*,*,*,*,*,*,*,,上,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,上,,0,0
窮迫,名詞,サ変接続,*,*,*,*,窮迫,キュウハク,キューハク,,上,,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,上,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,上,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,上,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,上,,0,0
。,記号,句点,*,*,*,*,。,。,。,,上,,0,0
場末,名詞,一般,*,*,*,*,場末,バスエ,バスエ,,上,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,上,,0,1
貧弱,名詞,形容動詞語幹,*,*,*,*,貧弱,ヒンジャク,ヒンジャク,,上,,0,1
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,上,,0,1
下駄,名詞,一般,*,*,*,*,下駄,ゲタ,ゲタ,,上,,0,1
屋,名詞,接尾,一般,*,*,*,屋,ヤ,ヤ,,上,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,上,,0,1
二階,名詞,固有名詞,地域,一般,*,*,二階,ニカイ,ニカイ,,上,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,上,,0,1
、,記号,読点,*,*,*,*,、,、,、,,上,,0,1
ただ,接続詞,*,*,*,*,*,ただ,タダ,タダ,,上,,0,1
一間,名詞,一般,*,*,*,*,一間,イッケン,イッケン,,上,,0,1
しか,助詞,係助詞,*,*,*,*,しか,シカ,シカ,,上,,0,1
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,,上,,0,1
六,名詞,数,*,*,*,*,六,ロク,ロク,,上,,0,1
畳,名詞,接尾,助数詞,*,*,*,畳,ジョウ,ジョー,,上,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,上,,0,1
、,記号,読点,*,*,*,*,、,、,、,,上,,0,1
一閑張り,名詞,一般,*,*,*,*,一閑張り,イッカンバリ,イッカンバリ,,上,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,上,,0,1
破れ,名詞,一般,*,*,*,*,破れ,ヤブレ,ヤブレ,,上,,0,1
机,名詞,一般,*,*,*,*,机,ツクエ,ツクエ,,上,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,上,,0,1
二つ,名詞,一般,*,*,*,*,二つ,フタツ,フタツ,,上,,0,1
並べ,動詞,自立,*,*,一段,連用形,並べる,ナラベ,ナラベ,,上,,0,1
