表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
肺病,名詞,一般,*,*,*,*,肺病,ハイビョウ,ハイビョー,一,0,0
やみ,名詞,一般,*,*,*,*,やみ,ヤミ,ヤミ,一,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,0
格太郎,名詞,固有名詞,人名,名,*,*,格太郎,カクタロウ,カクタロー,一,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー,一,0,0
も,助詞,係助詞,*,*,*,*,も,モ,モ,一,0,0
又,接続詞,*,*,*,*,*,又,マタ,マタ,一,0,0
細君,名詞,一般,*,*,*,*,細君,サイクン,サイクン,一,0,0
において,助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ,一,0,0
けぼり,名詞,一般,*,*,*,*,毛彫,ケボリ,ケボリ,一,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,0
食っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,食う,クッ,クッ,一,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
ぼんやり,名詞,サ変接続,*,*,*,*,ぼんやり,ボンヤリ,ボンヤリ,一,0,0
と,助詞,並立助詞,*,*,*,*,と,ト,ト,一,0,0
留守,名詞,サ変接続,*,*,*,*,留守,ルス,ルス,一,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,0
守っ,動詞,自立,*,*,五段・ラ行,連用タ接続,守る,マモッ,マモッ,一,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一,0,0
い,動詞,非自立,*,*,一段,未然形,いる,イ,イ,一,0,0
なけれ,助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ,一,0,0
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,一,0,0
なら,動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,一,0,0
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,一,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,0
。,記号,句点,*,*,*,*,。,。,。,一,0,0
最初,名詞,一般,*,*,*,*,最初,サイショ,サイショ,一,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,1
程,名詞,非自立,一般,*,*,*,程,ホド,ホド,一,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,1
、,記号,読点,*,*,*,*,、,、,、,一,0,1
如何,名詞,形容動詞語幹,*,*,*,*,如何,イカガ,イカガ,一,0,1
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一,0,1
お人好し,名詞,一般,*,*,*,*,お人好し,オヒトヨシ,オヒトヨシ,一,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一,0,1
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,一,0,1
も,助詞,係助詞,*,*,*,*,も,モ,モ,一,0,1
、,記号,読点,*,*,*,*,、,、,、,一,0,1
激憤,名詞,サ変接続,*,*,*,*,激憤,ゲキフン,ゲキフン,一,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,1
感じ,動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ,一,0,1
、,記号,読点,*,*,*,*,、,、,、,一,0,1
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,一,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,1
種,名詞,一般,*,*,*,*,種,タネ,タネ,一,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,1
離別,名詞,サ変接続,*,*,*,*,離別,リベツ,リベツ,一,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,1
目論ん,動詞,自立,*,*,五段・マ行,連用タ接続,目論む,モクロン,モクロン,一,0,1
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,一,0,1
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,一,0,1
さえ,助詞,係助詞,*,*,*,*,さえ,サエ,サエ,一,0,1
