表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
空,名詞,一般,*,*,*,*,空,ソラ,ソラ,,おねえさま,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,おねえさま,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,おねえさま,,0,0
一点,名詞,固有名詞,組織,*,*,*,一点,イテン,イテン,,おねえさま,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,おねえさま,,0,0
雲,名詞,一般,*,*,*,*,雲,クモ,クモ,,おねえさま,,0,0
も,助詞,係助詞,*,*,*,*,も,モ,モ,,おねえさま,,0,0
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,,おねえさま,,0,0
、,記号,読点,*,*,*,*,、,、,、,,おねえさま,,0,0
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,,おねえさま,,0,0
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,,おねえさま,,0,0
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,おねえさま,,0,0
かがやく,動詞,自立,*,*,五段・カ行イ音便,基本形,かがやく,カガヤク,カガヤク,,おねえさま,,0,0
太陽,名詞,一般,*,*,*,*,太陽,タイヨウ,タイヨー,,おねえさま,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,おねえさま,,0,0
照らさ,動詞,自立,*,*,五段・サ行,未然形,照らす,テラサ,テラサ,,おねえさま,,0,0
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,おねえさま,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,おねえさま,,0,0
、,記号,読点,*,*,*,*,、,、,、,,おねえさま,,0,0
ひろい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ひろい,ヒロイ,ヒロイ,,おねえさま,,0,0
原っぱ,名詞,一般,*,*,*,*,原っぱ,ハラッパ,ハラッパ,,おねえさま,,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,おねえさま,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,おねえさま,,0,0
、,記号,読点,*,*,*,*,、,、,、,,おねえさま,,0,0
ゆらゆら,副詞,一般,*,*,*,*,ゆらゆら,ユラユラ,ユラユラ,,おねえさま,,0,0
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,おねえさま,,0,0
、,記号,読点,*,*,*,*,、,、,、,,おねえさま,,0,0
かげろう,名詞,一般,*,*,*,*,かげろう,カゲロウ,カゲロウ,,おねえさま,,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,おねえさま,,0,0
たちのぼっ,動詞,自立,*,*,五段・ラ行,連用タ接続,たちのぼる,タチノボッ,タチノボッ,,おねえさま,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,おねえさま,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,おねえさま,,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,おねえさま,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,おねえさま,,0,0
。,記号,句点,*,*,*,*,。,。,。,,おねえさま,,0,0
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,おねえさま,,0,1
原っぱ,名詞,一般,*,*,*,*,原っぱ,ハラッパ,ハラッパ,,おねえさま,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,おねえさま,,0,1
まんなか,名詞,一般,*,*,*,*,まんなか,マンナカ,マンナカ,,おねえさま,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,おねえさま,,0,1
、,記号,読点,*,*,*,*,、,、,、,,おねえさま,,0,1
十二,名詞,固有名詞,人名,姓,*,*,十二,ジュウニ,ジューニ,,おねえさま,,0,1
―,記号,一般,*,*,*,*,―,―,―,,おねえさま,,0,1
三,名詞,数,*,*,*,*,三,サン,サン,,おねえさま,,0,1
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,,おねえさま,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,おねえさま,,0,1
小学校,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,,おねえさま,,0,1
五,名詞,数,*,*,*,*,五,ゴ,ゴ,,おねえさま,,0,1
―,記号,一般,*,*,*,*,―,―,―,,おねえさま,,0,1
六年生,名詞,固有名詞,一般,*,*,*,六年生,ロクネンセイ,ロクネンセイ,,おねえさま,,0,1
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,おねえさま,,0,1
、,記号,読点,*,*,*,*,、,、,、,,おねえさま,,0,1
中学,名詞,一般,*,*,*,*,中学,チュウガク,チューガク,,おねえさま,,0,1
一,名詞,数,*,*,*,*,一,イチ,イチ,,おねえさま,,0,1
―,記号,一般,*,*,*,*,―,―,―,,おねえさま,,0,1
二,名詞,数,*,*,*,*,二,ニ,ニ,,おねえさま,,0,1
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン,,おねえさま,,0,1
ぐらい,助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,,おねえさま,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,おねえさま,,0,1
少年たち,名詞,固有名詞,一般,*,*,*,少年たち,ショウネンタチ,ショーネンタチ,,おねえさま,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,おねえさま,,0,1
集まっ,動詞,自立,*,*,五段・ラ行,連用タ接続,集まる,アツマッ,アツマッ,,おねえさま,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,おねえさま,,0,1
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,おねえさま,,0,1
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,おねえさま,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,おねえさま,,0,1
。,記号,句点,*,*,*,*,。,。,。,,おねえさま,,0,1
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,おねえさま,,0,2
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,,おねえさま,,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,おねえさま,,0,2
たった,副詞,助詞類接続,*,*,*,*,たった,タッタ,タッタ,,おねえさま,,0,2
ひとり,名詞,一般,*,*,*,*,ひとり,ヒトリ,ヒトリ,,おねえさま,,0,2
、,記号,読点,*,*,*,*,、,、,、,,おねえさま,,0,2
女の子,名詞,一般,*,*,*,*,女の子,オンナノコ,オンナノコ,,おねえさま,,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,おねえさま,,0,2
まじっ,動詞,自立,*,*,五段・ラ行,連用タ接続,まじる,マジッ,マジッ,,おねえさま,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,おねえさま,,0,2
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,おねえさま,,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,おねえさま,,0,2
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,おねえさま,,0,2
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,おねえさま,,0,2
。,記号,句点,*,*,*,*,。,。,。,,おねえさま,,0,2
女の子,名詞,一般,*,*,*,*,女の子,オンナノコ,オンナノコ,,おねえさま,,0,3
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,おねえさま,,0,3
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,,おねえさま,,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,おねえさま,,0,3
も,助詞,係助詞,*,*,*,*,も,モ,モ,,おねえさま,,0,3
、,記号,読点,*,*,*,*,、,、,、,,おねえさま,,0,3
もう,副詞,一般,*,*,*,*,もう,モウ,モー,,おねえさま,,0,3
高等学校,名詞,固有名詞,一般,*,*,*,高等学校,コウトウガッコウ,コートーガッコー,,おねえさま,,0,3
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,おねえさま,,0,3
出,動詞,自立,*,*,一段,連用形,出る,デ,デ,,おねえさま,,0,3
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,おねえさま,,0,3
美しい,形容詞,自立,*,*,形容詞・イ段,基本形,美しい,ウツクシイ,ウツクシイ,,おねえさま,,0,3
おじょうさん,名詞,一般,*,*,*,*,おじょうさん,オジョウサン,オジョーサン,,おねえさま,,0,3
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,おねえさま,,0,3
。,記号,句点,*,*,*,*,。,。,。,,おねえさま,,0,3
えび,名詞,一般,*,*,*,*,えび,エビ,エビ,,おねえさま,,0,4
ちゃ,名詞,一般,*,*,*,*,ちゃ,チャ,チャ,,おねえさま,,0,4
色,名詞,接尾,一般,*,*,*,色,ショク,ショク,,おねえさま,,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,おねえさま,,0,4
ワンピース,名詞,一般,*,*,*,*,ワンピース,ワンピース,ワンピース,,おねえさま,,0,4
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,おねえさま,,0,4
着,動詞,自立,*,*,一段,連用形,着る,キ,キ,,おねえさま,,0,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,おねえさま,,0,4
、,記号,読点,*,*,*,*,、,、,、,,おねえさま,,0,4
