表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
東京,名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,もうひとりの少年
の,助詞,連体化,*,*,*,*,の,ノ,ノ,もうひとりの少年
銀座,名詞,固有名詞,地域,一般,*,*,銀座,ギンザ,ギンザ,もうひとりの少年
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,もうひとりの少年
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,もうひとりの少年
店,名詞,一般,*,*,*,*,店,ミセ,ミセ,もうひとりの少年
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,もうひとりの少年
もち,動詞,自立,*,*,五段・タ行,連用形,もつ,モチ,モチ,もうひとりの少年
、,記号,読点,*,*,*,*,、,、,、,もうひとりの少年
宝石,名詞,一般,*,*,*,*,宝石,ホウセキ,ホーセキ,もうひとりの少年
王,名詞,接尾,一般,*,*,*,王,オウ,オー,もうひとりの少年
と,助詞,格助詞,引用,*,*,*,と,ト,ト,もうひとりの少年
いわ,動詞,自立,*,*,五段・ワ行促音便,未然形,いう,イワ,イワ,もうひとりの少年
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,もうひとりの少年
て,助詞,接続助詞,*,*,*,*,て,テ,テ,もうひとりの少年
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,もうひとりの少年
玉村,名詞,固有名詞,人名,姓,*,*,玉村,タマムラ,タマムラ,もうひとりの少年
宝石,名詞,一般,*,*,*,*,宝石,ホウセキ,ホーセキ,もうひとりの少年
店,名詞,接尾,一般,*,*,*,店,テン,テン,もうひとりの少年
の,助詞,連体化,*,*,*,*,の,ノ,ノ,もうひとりの少年
主人,名詞,一般,*,*,*,*,主人,シュジン,シュジン,もうひとりの少年
、,記号,読点,*,*,*,*,、,、,、,もうひとりの少年
玉村,名詞,固有名詞,人名,姓,*,*,玉村,タマムラ,タマムラ,もうひとりの少年
銀之助,名詞,固有名詞,人名,名,*,*,銀之助,ギンノスケ,ギンノスケ,もうひとりの少年
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,もうひとりの少年
の,助詞,連体化,*,*,*,*,の,ノ,ノ,もうひとりの少年
すまい,動詞,自立,*,*,五段・ワ行促音便,連用形,すまう,スマイ,スマイ,もうひとりの少年
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,もうひとりの少年
、,記号,読点,*,*,*,*,、,、,、,もうひとりの少年
渋谷区,名詞,固有名詞,地域,一般,*,*,渋谷区,シブヤク,シブヤク,もうひとりの少年
の,助詞,連体化,*,*,*,*,の,ノ,ノ,もうひとりの少年
しずか,名詞,形容動詞語幹,*,*,*,*,しずか,シズカ,シズカ,もうひとりの少年
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,もうひとりの少年
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,もうひとりの少年
しき,名詞,一般,*,*,*,*,しき,シキ,シキ,もうひとりの少年
町,名詞,接尾,地域,*,*,*,町,マチ,マチ,もうひとりの少年
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,もうひとりの少年
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,もうひとりの少年
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,もうひとりの少年
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,もうひとりの少年
。,記号,句点,*,*,*,*,。,。,。,もうひとりの少年
玉村,名詞,固有名詞,人名,姓,*,*,玉村,タマムラ,タマムラ,もうひとりの少年
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,もうひとりの少年
の,助詞,連体化,*,*,*,*,の,ノ,ノ,もうひとりの少年
家庭,名詞,一般,*,*,*,*,家庭,カテイ,カテイ,もうひとりの少年
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,もうひとりの少年
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,もうひとりの少年
、,記号,読点,*,*,*,*,、,、,、,もうひとりの少年
奥さん,名詞,一般,*,*,*,*,奥さん,オクサン,オクサン,もうひとりの少年
と,助詞,並立助詞,*,*,*,*,と,ト,ト,もうひとりの少年
、,記号,読点,*,*,*,*,、,、,、,もうひとりの少年
ふたり,名詞,一般,*,*,*,*,ふたり,フタリ,フタリ,もうひとりの少年
の,助詞,連体化,*,*,*,*,の,ノ,ノ,もうひとりの少年
子ども,名詞,一般,*,*,*,*,子ども,コドモ,コドモ,もうひとりの少年
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,もうひとりの少年
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,もうひとりの少年
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,もうひとりの少年
。,記号,句点,*,*,*,*,。,。,。,もうひとりの少年
ねえさん,名詞,一般,*,*,*,*,ねえさん,ネエサン,ネーサン,もうひとりの少年
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,もうひとりの少年
光子,名詞,一般,*,*,*,*,光子,コウシ,コーシ,もうひとりの少年
と,助詞,格助詞,引用,*,*,*,と,ト,ト,もうひとりの少年
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,もうひとりの少年
て,助詞,接続助詞,*,*,*,*,て,テ,テ,もうひとりの少年
高校,名詞,一般,*,*,*,*,高校,コウコウ,コーコー,もうひとりの少年
一年生,名詞,一般,*,*,*,*,一年生,イチネンセイ,イチネンセイ,もうひとりの少年
、,記号,読点,*,*,*,*,、,、,、,もうひとりの少年
弟,名詞,一般,*,*,*,*,弟,オトウト,オトート,もうひとりの少年
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,もうひとりの少年
銀一,名詞,固有名詞,人名,一般,*,*,銀一,ギンイチ,ギンイチ,もうひとりの少年
と,助詞,格助詞,引用,*,*,*,と,ト,ト,もうひとりの少年
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,もうひとりの少年
て,助詞,接続助詞,*,*,*,*,て,テ,テ,もうひとりの少年
中学一年生,名詞,固有名詞,一般,*,*,*,中学一年生,チュウガクイチネンセイ,チューガクイチネンセイ,もうひとりの少年
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,もうひとりの少年
。,記号,句点,*,*,*,*,。,。,。,もうひとりの少年
あるとき,名詞,一般,*,*,*,*,ある時,アルトキ,アルトキ,もうひとりの少年
、,記号,読点,*,*,*,*,、,、,、,もうひとりの少年
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,もうひとりの少年
玉村,名詞,固有名詞,人名,姓,*,*,玉村,タマムラ,タマムラ,もうひとりの少年
銀一,名詞,固有名詞,人名,名,*,*,銀一,ギンイチ,ギンイチ,もうひとりの少年
君,名詞,接尾,人名,*,*,*,君,クン,クン,もうひとりの少年
