表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
空,名詞,一般,*,*,*,*,空,ソラ,ソラ,空とぶ円盤,0,0
とぶ,動詞,自立,*,*,五段・バ行,基本形,とぶ,トブ,トブ,空とぶ円盤,0,0
円盤,名詞,一般,*,*,*,*,円盤,エンバン,エンバン,空とぶ円盤,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,空とぶ円盤,0,0
、,記号,読点,*,*,*,*,、,、,、,空とぶ円盤,0,0
アメリカ,名詞,固有名詞,地域,国,*,*,アメリカ,アメリカ,アメリカ,空とぶ円盤,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,空とぶ円盤,0,0
はじまっ,動詞,自立,*,*,五段・ラ行,連用タ接続,はじまる,ハジマッ,ハジマッ,空とぶ円盤,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,空とぶ円盤,0,0
、,記号,読点,*,*,*,*,、,、,、,空とぶ円盤,0,0
世界じゅう,名詞,一般,*,*,*,*,世界じゅう,セカイジュウ,セカイジュー,空とぶ円盤,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,空とぶ円盤,0,0
空,名詞,一般,*,*,*,*,空,ソラ,ソラ,空とぶ円盤,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,空とぶ円盤,0,0
あらわれ,動詞,自立,*,*,一段,連用形,あらわれる,アラワレ,アラワレ,空とぶ円盤,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,空とぶ円盤,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,空とぶ円盤,0,0
。,記号,句点,*,*,*,*,。,。,。,空とぶ円盤,0,0
日本,名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,空とぶ円盤,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,空とぶ円盤,0,1
も,助詞,係助詞,*,*,*,*,も,モ,モ,空とぶ円盤,0,1
あらわれ,動詞,自立,*,*,一段,連用形,あらわれる,アラワレ,アラワレ,空とぶ円盤,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,空とぶ円盤,0,1
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,空とぶ円盤,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,空とぶ円盤,0,1
、,記号,読点,*,*,*,*,、,、,、,空とぶ円盤,0,1
ずっと,副詞,一般,*,*,*,*,ずっと,ズット,ズット,空とぶ円盤,0,1
まえ,動詞,自立,*,*,一段,連用形,まえる,マエ,マエ,空とぶ円盤,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,空とぶ円盤,0,1
新聞,名詞,一般,*,*,*,*,新聞,シンブン,シンブン,空とぶ円盤,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,空とぶ円盤,0,1
のっ,動詞,自立,*,*,五段・ラ行,連用タ接続,のる,ノッ,ノッ,空とぶ円盤,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,空とぶ円盤,0,1
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,空とぶ円盤,0,1
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,空とぶ円盤,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,空とぶ円盤,0,1
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,空とぶ円盤,0,1
、,記号,読点,*,*,*,*,、,、,、,空とぶ円盤,0,1
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,空とぶ円盤,0,1
お話,名詞,サ変接続,*,*,*,*,お話,オハナシ,オハナシ,空とぶ円盤,0,1
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,空とぶ円盤,0,1
はじまる,動詞,自立,*,*,五段・ラ行,基本形,はじまる,ハジマル,ハジマル,空とぶ円盤,0,1
ころ,名詞,非自立,副詞可能,*,*,*,ころ,コロ,コロ,空とぶ円盤,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,空とぶ円盤,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,空とぶ円盤,0,1
、,記号,読点,*,*,*,*,、,、,、,空とぶ円盤,0,1
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,空とぶ円盤,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,空とぶ円盤,0,1
日本,名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,空とぶ円盤,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,空とぶ円盤,0,1
空,名詞,一般,*,*,*,*,空,ソラ,ソラ,空とぶ円盤,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,空とぶ円盤,0,1
、,記号,読点,*,*,*,*,、,、,、,空とぶ円盤,0,1
しきりに,副詞,一般,*,*,*,*,しきりに,シキリニ,シキリニ,空とぶ円盤,0,1
あらわれる,動詞,自立,*,*,一段,基本形,あらわれる,アラワレル,アラワレル,空とぶ円盤,0,1
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,空とぶ円盤,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,空とぶ円盤,0,1
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,空とぶ円盤,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,空とぶ円盤,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,空とぶ円盤,0,1
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,空とぶ円盤,0,1
。,記号,句点,*,*,*,*,。,。,。,空とぶ円盤,0,1
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,空とぶ円盤,0,2
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,空とぶ円盤,0,2
さら,名詞,一般,*,*,*,*,さら,サラ,サラ,空とぶ円盤,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,空とぶ円盤,0,2
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,空とぶ円盤,0,2
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,空とぶ円盤,0,2
丸い,形容詞,自立,*,*,形容詞・アウオ段,基本形,丸い,マルイ,マルイ,空とぶ円盤,0,2
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,空とぶ円盤,0,2
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,空とぶ円盤,0,2
、,記号,読点,*,*,*,*,、,、,、,空とぶ円盤,0,2
ひじ,名詞,一般,*,*,*,*,ひじ,ヒジ,ヒジ,空とぶ円盤,0,2
ょうな,名詞,一般,*,*,*,*,*,*,*,空とぶ円盤,0,2
早,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,早い,ハヤ,ハヤ,空とぶ円盤,0,2
さ,名詞,接尾,特殊,*,*,*,さ,サ,サ,空とぶ円盤,0,2
で,助詞,格助詞,一般,*,*,*,で,デ,デ,空とぶ円盤,0,2
、,記号,読点,*,*,*,*,、,、,、,空とぶ円盤,0,2
高い,形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ,空とぶ円盤,0,2
空,名詞,一般,*,*,*,*,空,ソラ,ソラ,空とぶ円盤,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,空とぶ円盤,0,2
飛ん,動詞,自立,*,*,五段・バ行,連用タ接続,飛ぶ,トン,トン,空とぶ円盤,0,2
で,助詞,接続助詞,*,*,*,*,で,デ,デ,空とぶ円盤,0,2
いく,動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク,空とぶ円盤,0,2
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,空とぶ円盤,0,2
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,空とぶ円盤,0,2
。,記号,句点,*,*,*,*,。,。,。,空とぶ円盤,0,2
どこか,名詞,一般,*,*,*,*,どこか,ドコカ,ドコカ,空とぶ円盤,0,3
